data;
param :Aij: A :=
	"OBJ.FUNC"	"C------1"	-.500000E+01
	"OBJ.FUNC"	"C------2"	0.500000E+01
	"OBJ.FUNC"	"C------3"	-.390000E+02
	"OBJ.FUNC"	"C------4"	0.950000E+01
	"OBJ.FUNC"	"C------5"	-.440000E+02
	"OBJ.FUNC"	"C------6"	-.175000E+02
	"OBJ.FUNC"	"C------7"	-.250000E+00
	"OBJ.FUNC"	"C------8"	-.600000E+01
	"OBJ.FUNC"	"C------9"	0.800000E+01
	"OBJ.FUNC"	"C-----10"	0.140000E+02
	"OBJ.FUNC"	"C-----11"	-.360000E+02
	"OBJ.FUNC"	"C-----12"	-.800000E+01
	"OBJ.FUNC"	"C-----13"	-.500000E+02
	"OBJ.FUNC"	"C-----14"	-.420000E+02
	"OBJ.FUNC"	"C-----15"	0.800000E+01
	"OBJ.FUNC"	"C-----16"	0.360000E+02
	"OBJ.FUNC"	"C-----17"	0.500000E+02
	"OBJ.FUNC"	"C-----18"	0.140000E+02
	"OBJ.FUNC"	"C-----19"	0.236000E+02
	"OBJ.FUNC"	"C-----20"	-.440000E+02
	"OBJ.FUNC"	"C-----21"	-.536000E+02
	"OBJ.FUNC"	"C-----22"	-.156000E+02
	"OBJ.FUNC"	"C-----23"	-.206000E+02
	"OBJ.FUNC"	"C-----24"	-.960000E+01
	"OBJ.FUNC"	"C-----25"	0.202500E+02
	"OBJ.FUNC"	"C-----26"	-.300000E+01
	"OBJ.FUNC"	"C-----27"	-.725000E+01
	"OBJ.FUNC"	"C-----28"	-.232500E+02
	"OBJ.FUNC"	"C-----29"	0.140000E+02
	"OBJ.FUNC"	"C-----30"	0.140000E+02
	"OBJ.FUNC"	"C-----31"	0.000000E+00
	"OBJ.FUNC"	"C-----32"	0.960000E+01
	"OBJ.FUNC"	"C-----33"	-.536000E+02
	"OBJ.FUNC"	"C-----34"	-.236000E+02
	"OBJ.FUNC"	"C-----35"	0.536000E+02
	"OBJ.FUNC"	"C-----36"	-.116000E+02
	"OBJ.FUNC"	"C-----37"	0.200000E+01
	"OBJ.FUNC"	"C-----38"	0.115000E+02
	"OBJ.FUNC"	"C-----39"	0.950000E+01
	"OBJ.FUNC"	"C-----40"	-.195000E+02
	"OBJ.FUNC"	"C-----41"	0.560000E+01
	"OBJ.FUNC"	"C-----42"	-.400000E+02
	"OBJ.FUNC"	"C-----43"	-.960000E+01
	"OBJ.FUNC"	"C-----44"	-.456000E+02
	"OBJ.FUNC"	"C-----45"	0.000000E+00
	"OBJ.FUNC"	"C-----46"	0.390000E+02
	"OBJ.FUNC"	"C-----47"	0.500000E+02
	"OBJ.FUNC"	"C-----48"	-.390000E+02
	"OBJ.FUNC"	"C-----49"	0.504000E+02
	"OBJ.FUNC"	"C-----50"	-.456000E+02
;
param b :=
;
param db :=
;
param ub :=
;
param :Q: h :=
"C------1"	"C------1"	0.750000E+01
"C------1"	"C------2"	-.300000E+01
"C------1"	"C------3"	-.300000E+01
"C------1"	"C-----31"	-.200000E+01
"C------2"	"C------2"	0.780000E+01
"C------2"	"C------3"	0.300000E+01
"C------2"	"C------4"	-.200000E+01
"C------2"	"C------5"	-.200000E+01
"C------3"	"C------3"	0.138000E+02
"C------3"	"C-----33"	0.600000E+01
"C------3"	"C-----35"	-.600000E+01
"C------4"	"C------4"	0.500000E+01
"C------4"	"C------5"	0.200000E+01
"C------4"	"C------6"	-.200000E+00
"C------4"	"C------7"	-.200000E+00
"C------5"	"C------5"	0.115000E+02
"C------5"	"C-----20"	0.600000E+01
"C------5"	"C-----21"	0.600000E+01
"C------6"	"C------6"	0.560000E+01
"C------6"	"C------7"	0.200000E+00
"C------6"	"C------8"	-.300000E+01
"C------6"	"C------9"	-.300000E+01
"C------7"	"C------7"	0.500000E+01
"C------7"	"C-----25"	0.300000E+00
"C------7"	"C-----27"	-.300000E+00
"C------7"	"C-----28"	-.300000E+00
"C------8"	"C------8"	0.940000E+01
"C------8"	"C------9"	0.300000E+01
"C------8"	"C-----10"	-.400000E+01
"C------8"	"C-----11"	-.400000E+01
"C------9"	"C------9"	0.700000E+01
"C------9"	"C-----18"	0.200000E+01
"C------9"	"C-----20"	-.200000E+01
"C-----10"	"C-----10"	0.820000E+01
"C-----10"	"C-----11"	0.400000E+01
"C-----10"	"C-----12"	-.200000E+01
"C-----10"	"C-----13"	-.200000E+01
"C-----11"	"C-----11"	0.130000E+02
"C-----11"	"C-----13"	0.600000E+01
"C-----11"	"C-----14"	0.600000E+01
"C-----11"	"C-----16"	-.600000E+01
"C-----11"	"C-----17"	-.600000E+01
"C-----12"	"C-----12"	0.820000E+01
"C-----12"	"C-----13"	0.200000E+01
"C-----12"	"C-----14"	-.300000E+01
"C-----12"	"C-----15"	-.300000E+01
"C-----13"	"C-----13"	0.105000E+02
"C-----13"	"C-----14"	0.600000E+01
"C-----13"	"C-----16"	-.600000E+01
"C-----13"	"C-----17"	-.600000E+01
"C-----14"	"C-----14"	0.115000E+02
"C-----14"	"C-----15"	0.300000E+01
"C-----14"	"C-----16"	-.600000E+01
"C-----14"	"C-----17"	-.600000E+01
"C-----15"	"C-----15"	0.740000E+01
"C-----15"	"C-----17"	0.200000E+01
"C-----15"	"C-----24"	0.200000E+01
"C-----15"	"C-----47"	0.200000E+01
"C-----16"	"C-----16"	0.124000E+02
"C-----16"	"C-----17"	0.600000E+01
"C-----16"	"C-----18"	-.400000E+01
"C-----16"	"C-----19"	-.400000E+01
"C-----17"	"C-----17"	0.108000E+02
"C-----17"	"C-----24"	0.200000E+01
"C-----17"	"C-----47"	0.200000E+01
"C-----18"	"C-----18"	0.700000E+01
"C-----18"	"C-----19"	0.400000E+01
"C-----18"	"C-----20"	-.200000E+01
"C-----19"	"C-----19"	0.520000E+01
"C-----19"	"C-----22"	-.200000E+00
"C-----19"	"C-----23"	-.200000E+00
"C-----19"	"C-----24"	-.200000E+00
"C-----20"	"C-----20"	0.105000E+02
