data;
param :Aij: A :=
	"OBJ.FUNC"	"C------1"	0.980000E+02
	"R-----47"	"C------1"	-.120000E+02
	"OBJ.FUNC"	"C------2"	0.226000E+03
	"R----127"	"C------2"	-.600000E+01
	"OBJ.FUNC"	"C------3"	0.272000E+03
	"R-----60"	"C------3"	-.160000E+02
	"OBJ.FUNC"	"C------4"	0.277000E+03
	"R----114"	"C------4"	-.600000E+01
	"OBJ.FUNC"	"C------5"	0.136000E+03
	"R----140"	"C------5"	-.600000E+01
	"OBJ.FUNC"	"C------6"	0.148000E+03
	"R-----33"	"C------6"	-.400000E+01
	"OBJ.FUNC"	"C------7"	0.200000E+03
	"R-----59"	"C------7"	-.400000E+01
	"OBJ.FUNC"	"C------8"	0.293000E+03
	"R-----46"	"C------8"	-.400000E+01
	"OBJ.FUNC"	"C------9"	0.133000E+03
	"R----126"	"C------9"	-.300000E+01
	"OBJ.FUNC"	"C-----10"	0.193000E+03
	"R----139"	"C-----10"	-.300000E+01
	"OBJ.FUNC"	"C-----11"	0.288000E+03
	"R-----45"	"C-----11"	-.100000E+01
	"OBJ.FUNC"	"C-----12"	0.291000E+03
	"R----113"	"C-----12"	-.300000E+01
	"OBJ.FUNC"	"C-----13"	0.164000E+03
	"R----185"	"C-----13"	-.200000E+01
	"OBJ.FUNC"	"C-----14"	0.112000E+03
	"R-----58"	"C-----14"	-.100000E+01
	"OBJ.FUNC"	"C-----15"	0.158000E+03
	"R-----32"	"C-----15"	-.100000E+01
	"OBJ.FUNC"	"C-----16"	0.217000E+03
	"R----184"	"C-----16"	-.900000E+01
	"OBJ.FUNC"	"C-----17"	0.255000E+03
	"R----138"	"C-----17"	-.130000E+02
	"OBJ.FUNC"	"C-----18"	0.243000E+03
	"R----112"	"C-----18"	-.210000E+02
	"OBJ.FUNC"	"C-----19"	0.144000E+03
	"R----183"	"C-----19"	-.500000E+01
	"OBJ.FUNC"	"C-----20"	0.205000E+03
	"R----125"	"C-----20"	-.700000E+01
	"OBJ.FUNC"	"C-----21"	0.126000E+03
	"R-----31"	"C-----21"	-.200000E+02
	"OBJ.FUNC"	"C-----22"	0.103000E+03
	"R----182"	"C-----22"	-.200000E+02
	"OBJ.FUNC"	"C-----23"	0.268000E+03
	"R-----44"	"C-----23"	-.120000E+02
	"OBJ.FUNC"	"C-----24"	0.840000E+02
	"R----181"	"C-----24"	-.210000E+02
