data;
param :Aij: A :=
	"OBJ.FUNC"	"C------1"	0.114034E+03
	"R----790"	"C------1"	-.260000E+00
	"R----798"	"C------1"	-.260000E+00
	"R----806"	"C------1"	-.338000E+01
	"R----814"	"C------1"	-.260000E+00
	"R----822"	"C------1"	-.182000E+01
	"R----830"	"C------1"	-.260000E+00
	"R----885"	"C------1"	-.260000E+00
	"R----941"	"C------1"	-.338000E+01
	"R---1005"	"C------1"	-.260000E+00
	"R---1077"	"C------1"	-.260000E+00
	"R---1157"	"C------1"	-.260000E+00
	"OBJ.FUNC"	"C------2"	0.114034E+03
	"R----694"	"C------2"	-.260000E+00
	"R----702"	"C------2"	-.520000E+00
	"R----710"	"C------2"	-.416000E+01
	"R----741"	"C------2"	-.364000E+01
	"R----773"	"C------2"	-.260000E+00
	"R----813"	"C------2"	-.260000E+00
	"R----861"	"C------2"	-.260000E+00
	"R----917"	"C------2"	-.390000E+01
	"R----981"	"C------2"	-.104000E+01
	"R---1053"	"C------2"	-.260000E+00
	"R---1133"	"C------2"	-.260000E+00
	"OBJ.FUNC"	"C------3"	0.114034E+03
	"R----672"	"C------3"	-.260000E+00
	"R----687"	"C------3"	-.377000E+01
	"R----703"	"C------3"	-.520000E+00
	"R----727"	"C------3"	-.234000E+01
	"R----759"	"C------3"	-.260000E+00
	"R----799"	"C------3"	-.260000E+00
	"R----847"	"C------3"	-.260000E+00
	"R----903"	"C------3"	-.351000E+01
	"R----967"	"C------3"	-.520000E+00
	"R---1039"	"C------3"	-.260000E+00
	"R---1119"	"C------3"	-.260000E+00
	"OBJ.FUNC"	"C------4"	0.114034E+03
	"R----668"	"C------4"	-.260000E+00
	"R----683"	"C------4"	-.377000E+01
	"R----699"	"C------4"	-.520000E+00
	"R----723"	"C------4"	-.234000E+01
	"R----755"	"C------4"	-.260000E+00
	"R----795"	"C------4"	-.260000E+00
	"R----843"	"C------4"	-.260000E+00
	"R----899"	"C------4"	-.351000E+01
	"R----963"	"C------4"	-.520000E+00
	"R---1035"	"C------4"	-.260000E+00
	"R---1115"	"C------4"	-.260000E+00
	"OBJ.FUNC"	"C------5"	0.114034E+03
	"R---1032"	"C------5"	-.260000E+00
	"R---1040"	"C------5"	-.260000E+00
	"R---1048"	"C------5"	-.351000E+01
	"R---1056"	"C------5"	-.260000E+00
	"R---1064"	"C------5"	-.130000E+01
	"R---1072"	"C------5"	-.260000E+00
	"R---1080"	"C------5"	-.260000E+00
	"R---1088"	"C------5"	-.260000E+00
	"R---1096"	"C------5"	-.351000E+01
	"R---1104"	"C------5"	-.520000E+00
	"R---1191"	"C------5"	-.260000E+00
	"OBJ.FUNC"	"C------6"	0.114034E+03
	"R----676"	"C------6"	-.273000E+01
	"R----684"	"C------6"	-.377000E+01
	"R----707"	"C------6"	-.416000E+01
	"R----731"	"C------6"	-.222300E+02
	"R----763"	"C------6"	-.273000E+01
	"R----803"	"C------6"	-.338000E+01
	"R----851"	"C------6"	-.338000E+01
	"R----907"	"C------6"	-.260000E+00
	"R----971"	"C------6"	-.494000E+01
	"R---1043"	"C------6"	-.351000E+01
	"R---1123"	"C------6"	-.312000E+01
	"OBJ.FUNC"	"C------7"	0.114034E+03
	"R---1110"	"C------7"	-.260000E+00
	"R---1118"	"C------7"	-.260000E+00
	"R---1126"	"C------7"	-.312000E+01
	"R---1134"	"C------7"	-.260000E+00
	"R---1142"	"C------7"	-.780000E+00
	"R---1150"	"C------7"	-.260000E+00
	"R---1158"	"C------7"	-.260000E+00
	"R---1166"	"C------7"	-.260000E+00
	"R---1174"	"C------7"	-.312000E+01
	"R---1182"	"C------7"	-.520000E+00
	"R---1190"	"C------7"	-.260000E+00
	"OBJ.FUNC"	"C------8"	0.114034E+03
	"R---1106"	"C------8"	-.260000E+00
	"R---1114"	"C------8"	-.260000E+00
	"R---1122"	"C------8"	-.312000E+01
	"R---1130"	"C------8"	-.260000E+00
	"R---1138"	"C------8"	-.780000E+00
	"R---1146"	"C------8"	-.260000E+00
	"R---1154"	"C------8"	-.260000E+00
	"R---1162"	"C------8"	-.260000E+00
	"R---1170"	"C------8"	-.312000E+01
	"R---1178"	"C------8"	-.520000E+00
	"R---1186"	"C------8"	-.260000E+00
	"OBJ.FUNC"	"C------9"	0.114034E+03
	"R----788"	"C------9"	-.260000E+00
	"R----796"	"C------9"	-.260000E+00
	"R----804"	"C------9"	-.338000E+01
	"R----812"	"C------9"	-.260000E+00
	"R----820"	"C------9"	-.182000E+01
	"R----828"	"C------9"	-.260000E+00
	"R----883"	"C------9"	-.260000E+00
	"R----939"	"C------9"	-.338000E+01
	"R---1003"	"C------9"	-.260000E+00
	"R---1075"	"C------9"	-.260000E+00
	"R---1155"	"C------9"	-.260000E+00
	"OBJ.FUNC"	"C-----10"	0.114034E+03
	"R---1026"	"C-----10"	-.260000E+00
	"R---1034"	"C-----10"	-.260000E+00
	"R---1042"	"C-----10"	-.351000E+01
	"R---1050"	"C-----10"	-.260000E+00
	"R---1058"	"C-----10"	-.130000E+01
	"R---1066"	"C-----10"	-.260000E+00
	"R---1074"	"C-----10"	-.260000E+00
	"R---1082"	"C-----10"	-.260000E+00
	"R---1090"	"C-----10"	-.351000E+01
	"R---1098"	"C-----10"	-.520000E+00
	"R---1185"	"C-----10"	-.260000E+00
	"OBJ.FUNC"	"C-----11"	0.114034E+03
	"R----840"	"C-----11"	-.260000E+00
	"R----848"	"C-----11"	-.260000E+00
	"R----856"	"C-----11"	-.338000E+01
	"R----864"	"C-----11"	-.260000E+00
	"R----872"	"C-----11"	-.182000E+01
	"R----880"	"C-----11"	-.260000E+00
	"R----888"	"C-----11"	-.260000E+00
	"R----951"	"C-----11"	-.338000E+01
	"R---1015"	"C-----11"	-.520000E+00
	"R---1087"	"C-----11"	-.260000E+00
	"R---1167"	"C-----11"	-.260000E+00
	"OBJ.FUNC"	"C-----12"	0.114034E+03
	"R----960"	"C-----12"	-.260000E+00
	"R----968"	"C-----12"	-.520000E+00
	"R----976"	"C-----12"	-.494000E+01
	"R----984"	"C-----12"	-.104000E+01
	"R----992"	"C-----12"	-.728000E+01
	"R---1000"	"C-----12"	-.260000E+00
	"R---1008"	"C-----12"	-.260000E+00
	"R---1016"	"C-----12"	-.520000E+00
	"R---1024"	"C-----12"	-.442000E+01
	"R---1103"	"C-----12"	-.520000E+00
	"R---1183"	"C-----12"	-.520000E+00
	"OBJ.FUNC"	"C-----13"	0.114034E+03
	"R----956"	"C-----13"	-.260000E+00
	"R----964"	"C-----13"	-.520000E+00
	"R----972"	"C-----13"	-.494000E+01
	"R----980"	"C-----13"	-.104000E+01
	"R----988"	"C-----13"	-.728000E+01
	"R----996"	"C-----13"	-.260000E+00
	"R---1004"	"C-----13"	-.260000E+00
	"R---1012"	"C-----13"	-.520000E+00
	"R---1020"	"C-----13"	-.442000E+01
	"R---1099"	"C-----13"	-.520000E+00
	"R---1179"	"C-----13"	-.520000E+00
	"OBJ.FUNC"	"C-----14"	0.114034E+03
	"R----696"	"C-----14"	-.260000E+00
	"R----704"	"C-----14"	-.520000E+00
	"R----712"	"C-----14"	-.416000E+01
	"R----743"	"C-----14"	-.364000E+01
	"R----775"	"C-----14"	-.260000E+00
	"R----815"	"C-----14"	-.260000E+00
	"R----863"	"C-----14"	-.260000E+00
	"R----919"	"C-----14"	-.390000E+01
	"R----983"	"C-----14"	-.104000E+01
	"R---1055"	"C-----14"	-.260000E+00
	"R---1135"	"C-----14"	-.260000E+00
	"OBJ.FUNC"	"C-----15"	0.114034E+03
