Solution Log - 2025-07-14 23:29:12
==================================================
Status: optimal
Objective Value: 81481799.06787083

Variable Values:
10018000: -9.999999420613824e-09
10035000: -9.999999834515431e-09
10192032: 0.6800000000000004
10198000: 1.5000000550000803
10209000: -9.999919170532256e-09
10253000: 2.0000000199999994
10359001: 2.4999999849999193
10422001: 11.000000109999593
10475000: 1.4999999949999996
10541000: 11.320000129999999
10645000: 8.49999984499992
20001018: 5.500000084999921
20010000: 15.00000015
20016015: 30.499999655000114
C0001000: -9.999865429243957e-09
C0002000: 2.5166665688175405
C0003000: 12.53499969305074
C0046000: 8.406110874911617
C0063000: 1.568999987500205
C0107000: 96.78999916790015
C0113000: 87.58660955206113
C0119000: 82.91260955206113
C0120000: 520.0499835095002
C0124000: 1898.8499880095
C0126000: 174.41538792483894
C0130000: 1440.1199894995
C0140000: 150.46999717190002
C0141000: 75.2418874748389
C0142000: 75.23805414150559
C0144000: 1472.9699894995001
C0145000: 736.485383638639
C0149000: 59.999999710000004
C0154000: 39.51133327833354
C0164900: 54.66999964670019
C0165900: 52.15999962160023
C0166000: 9.8499997585
C0168000: 943.4199864000002
C0169000: 541.3622715535279
C0171000: 541.3604382201945
C0172000: 7896.4799049235025
C0173000: 7896.4799049235025
C0176000: 125.81999720549979
C0177000: 1152.5999892279997
C0179000: 1152.5999892279997
C0181000: 937.5999891480002
C0186000: 289.49999972499984
C0190000: 292.9999997299999
C0192000: 24.99999989000016
C0194000: 495.0000003299989
C0197000: 495.0000003299989
C0198000: 247.50000016499945
C0202000: 289.00000031999934
C0208000: 247.50000016499945
C0213000: -9.999999560959626e-09
C0221000: 78.99999989
C0225000: 78.99999989
C0226000: 78.99999989
C0228000: 78.99999989
C0229000: 78.99999989
C0242000: 202.71999970000005
C0285000: 157.99999978
C0290000: 78.99999989
C0291000: 78.99999989
C0304000: 78.99999989
C0307000: 78.99999989
C0318000: 27.999999719999998
C0344000: 68.499999305
C0471000: 888.4999985050001
C0472000: 1793.9999970200001
C0474000: 1793.9999970200001
C0475000: 896.9999985100001
C0476000: 1785.4999970150002
C0478000: 910.9999983700001
C0482000: 1793.9999970200001
C0484000: 896.9999985100001
C0485000: 8.500000004999999
C0490000: 69.9999993
C0495000: 236.99999967
C0496000: 238.49999950499992
C0497000: 236.99999967
C0498000: 580.99999895
C0499000: 580.99999895
C0505000: 385.5399972249995
C0507000: 385.5399972249995
C0508000: 823.0399941500004
C0509000: 823.0399941500004
C0522000: 78.99999989
C0523000: 78.99999989
C0561000: 13.999999859999999
C0562000: 423.07999727000004
C0570000: 78.99999989
C0580000: 779.2199944550009
C0662000: 755.3599985200001
C0664000: 678.3599986500001
C0665000: 909.35999826
C0668000: 678.3599986500001
C0692000: 78.99999989
C0695000: 631.99999912
C0700000: 78.99999989
C0701000: 50.49999983500003
C0702000: 50.49999983500003
C0703000: 50.49999983500003
C0728000: 100.99999967000007
C0742000: 151.49999950500012
C0743000: 100.99999967000007
C0864000: 50.49999983500003
C0938000: 201.99999934000013
C0955001: 151.49999950500012
C0956000: 201.99999934000013
C1078000: 50.49999983500003
C1141000: 50.49999983500003
C1179000: 50.49999983500003
C1186000: 50.49999983500003
C1221000: 201.99999934000013
C1223000: 201.99999934000013
C1246001: 353.4999988450002
C1254000: 78.99999989
C1258000: 78.99999989
C1343000: 80.49999994500008
C1354000: 315.99999956
C1377001: 1.499999985
C1379000: 75.49999988500001
C1380000: 157.99999978
C1382000: 157.99999978
C1391000: 896.9999985100001
C1392000: 817.9999986199999
C1422000: 5220.000002520005
C1423000: 7540.000003640007
C1425000: 586.5000000450007
C1426000: 548.3200002000007
C1447000: 78.99999989
C1453000: 5.500000084999921
C1456000: 1632.3199998100022
C1457000: 1154.4600011550021
C1458000: 1154.4600011550021
C1496000: 78.99999989
C1519000: 397.120001610001
C1523000: 56.67999993000019
C1527000: 188.85999998500074
C1528000: 132.00000041000035
C1536000: 78.99999989000003
C1548000: 240.0000022
C1553000: 78.99999989
C1573000: 213.0799997200002
C1597000: 2383.99999656
C1615000: 75.49999988500001
C1640000: 138.17999975500015
C1714900: 443.0399988899997
C1726900: 154.18000025500064
C1733001: 121.67999962000019
C1733007: 39.18000013499981
C1745001: 384.82000038500075
C1777000: 145.49999961500023
C1813000: 78.99999989
C1818000: 56.67999993000019
C1904000: 13.999999859999999
C1920000: 78.99999989
C1932000: 78.99999989
C1973000: 75.49999989497378
C2004000: 78.99999989
C2038000: 78.99999989
C2081000: 78.99999989
C2171000: 78.99999989
C2174000: 78.99999989
C2186000: 75.49999988500001
C2190000: 76.99999988
C2196000: 75.49999988500001
C2339000: 78.99999989
C2342000: 78.99999989
C2384000: 28.0
C2386000: 2.499999975
C2393000: 78.99999989
C2420000: 4.00000004
C2425000: 78.99999989
C2439000: 78.99999989
C2447000: 1.499999975000081
C2471000: 157.99999978
C2472000: 422.99999916999997
C2473000: 157.99999978
C2475000: 157.99999978
C2477000: 27.999999719999998
C2479000: 27.999999719999998
C2481000: 78.99999989
C2483000: 78.99999989
C2491000: 13.999999859999999
C2498000: 2.190000011900002
C2503000: 348.8199980719
C2505000: 348.8199980719
C2507000: 175.1699968919
C2529000: -9.999998954138447e-09
C2530000: 165.80999688190002
C2531000: -9.999961591553481e-09
C2539000: 346.62999808
C2576000: 78.99999989
C2577000: 78.99999989
C2624000: 78.99999989
C2628000: 78.99999989
C2642000: 13.999999859999999
C2689000: 163.499999815
C2690000: 384.82000038500075
C2691000: 31.680000079999807
C2868000: 31.000000029999967
C2896000: 78.99999989
C2905000: 896.9999985100001
C2922000: 78.99999989
C2987000: 13.999999859999999
C2989000: 580.99999895
C2991000: 580.99999895
C2995000: 65.00000003
C3002000: 97.03999973040064
C3012000: 16.759999547600202
C3013000: 20.179999581800622
C3013999: 20.179999581800622
C3038000: 47.99999986000003
C3044000: 78.99999989
C3115001: 24.99999992
C3125000: 130.00000006
C3130000: 65.00000003
C3131000: 195.00000009000001
C3132000: 325.00000015
C3136000: 65.00000003
C3140000: 65.00000003
C3146000: 65.00000003
C3148000: 130.00000006
C3151000: 65.00000003
C3152000: 65.00000003
C3154000: 65.00000003
C3156000: 65.00000003
C3157000: 65.00000003
C3168000: 63.00000001000001
C3170000: 65.00000003
C3190001: 35.999999730000035
C3197000: 51.679999880000004
C3238000: 47.99999986000003
C3239000: 47.99999986000003
C3240000: 260.00000012
C3241000: 130.00000006
C3242000: 224.5000004249999
C3243000: 134.17999947499993
C3244000: 380.03999811000006
C3250000: 87.54000024499989
C3251000: 224.5000004249999
C3253000: 32.99999971
C3256000: 78.67999952000002
C3261000: 13.999999859999999
C3278000: 7.979999825000001
C3279000: 7.859999825000001
C3280000: 7.7499998250000015
C3295000: 78.99999989
C3297000: 195.00000009000001
C3306000: 38.67999975
C3477000: 65.00000003
C3494000: 65.00000003
C3497000: 21.18000022499989
C3498000: 63.00000001000001
C3624000: 57.00000010999993
C3627001: 463.0000015699999
C3627002: 389.99999797999817
C3627005: 154.00000015999984
C3652001: 11.999999849999888
C3670002: 457.5000005249995
C3713000: 28.500000054999965
C3719000: 28.500000054999965
C3775000: 4.859999814300486
C3776000: -9.999629975725324e-09
C3779000: 11.499999885000001
C3781000: 11.499999885000001
C3801000: 65.00000003
C3872095: 30.499999655000114
C3872110: 17.99999994999992
C3872220: 29.820000284999963
C3908000: 47.99999986000003
C3918000: 3.5000000049999995
C3993000: 65.00000003
C4169000: 3.5000000049999995
C4195001: 359.0000003499995
C4200001: 306.00000110999997
C4257002: 143.00000018999984
C4259001: 135.50000000499986
C4259002: 95.50000006499991
C4272000: 285.00000054999964
C4274000: 336.5000003749997
C4275000: 336.5000005149998
C4278002: 445.5000008649995
C4317000: 421.12000184000095
C4319000: 392.40000048999923
C4409000: 25.00000004999997
C4426000: 9.9999999
C4443000: 25.00000005
C4453000: 16.50000020500005
C4535000: 25.00000004999997
C4541000: 28.500000054999965
C4577000: 28.500000054999965
C4627000: 26.32000028
C4700000: 25.00000004999997
C4703000: 25.00000004999997
C4773000: 50.99999989
C4828000: 33.499999874999716
C4921000: 7.50000010499992
C4928000: 130.00000006
C4985000: 78.99999989
C4988000: 78.99999989
C5147000: 78.99999989
C5245008: 0.17886363859715032
C5247008: 36.87999974880012
C5259000: 65.00000003
C5269000: 78.99999989
C5270000: 78.99999989
C5327000: 27.00000006999997
C5346000: 8.49999984499992
C5349000: 15.00000015
C5351000: 65.00000003
C5430000: 3.4200000342004193
C5439000: 17.000000169999968
C5440000: 17.000000169999968
C5446000: 580.99999895
C5499000: 458.3599986400002
C5500000: 448.3599990500001
C5522000: 50.49999983500003
C5543002: -9.999999665297279e-09
C5557002: -9.9999996322034e-09
